location,total_vaccinations,people_vaccinated,total_boosters,population,continent,latitude,longitude,total_cases,total_deaths,new_cases,new_deaths
Guatemala,15141507.0,7332849.0,2025508.0,18249868.0,North America,15.783471,-90.230759,196197962.0,5411699.0,798400.0,17119.0
Guernsey,148344.0,54146.0,39278.0,63385.0,Europe,49.465691,-2.585278,0.0,0.0,0.0,0.0
Guinea,5497389.0,3531742.0,,13497237.0,Africa,9.945587,-9.696645,13394905.0,124817.0,36427.0,440.0
Guinea-Bissau,562296.0,519240.0,,2015490.0,Africa,11.803749,-15.180413,2652431.0,50894.0,8039.0,168.0
Guyana,820036.0,434878.0,53455.0,790329.0,South America,4.860416,-58.93018,12157277.0,285633.0,63105.0,1224.0
Haiti,241800.0,157571.0,,11541683.0,North America,18.971187,-72.285215,10148640.0,259814.0,30430.0,904.0
Honduras,11794913.0,5443384.0,1735699.0,10062994.0,North America,15.199999,-86.241905,139716490.0,3728453.0,414734.0,10813.0
Hong Kong,14084025.0,6410271.0,2262752.0,7552800.0,Asia,22.396428,114.109497,10844988.0,122757.0,551257.0,2869.0
Hungary,16163897.0,6398615.0,4059531.0,9634162.0,Europe,47.162494,19.503304,397890680.0,12932796.0,1809917.0,44549.0
Iceland,804106.0,309578.0,249832.0,368792.0,Europe,64.963051,-19.020835,9704717.0,18448.0,153245.0,77.0
India,1800720203.0,968738370.0,20001279.0,1393409033.0,Asia,20.593684,78.96288,13046688311.0,172527639.0,42980067.0,508086.0
Indonesia,274749184.0,193400494.0,,276361788.0,Asia,-0.789275,113.921327,1370432000.0,42669260.0,5826589.0,151135.0
Iran,144547815.0,63534619.0,24880597.0,85028760.0,Asia,32.427908,53.688046,1904432603.0,48427081.0,7107167.0,138433.0
Iraq,17014009.0,9992944.0,,41179351.0,Asia,33.223191,43.679291,727819012.0,9907775.0,2310539.0,25082.0
Ireland,10659090.0,4059840.0,2852206.0,4982904.0,Europe,53.41291,-8.24389,209307854.0,2643149.0,1337082.0,6597.0
Isle of Man,188338.0,69443.0,52148.0,85410.0,Europe,54.236107,-4.548056,3177805.0,24992.0,23962.0,80.0
Israel,18029421.0,6700662.0,5204388.0,9291000.0,Asia,31.046051,34.851612,583691569.0,3378932.0,3692204.0,10330.0
Italy,135065770.0,50677749.0,38200345.0,60367471.0,Europe,41.87194,12.56738,2365867942.0,64202029.0,13159490.0,156388.0
Jamaica,1378039.0,774210.0,30822.0,2973462.0,North America,18.109581,-77.297508,29487875.0,657243.0,128246.0,2835.0
Japan,240441450.0,101950049.0,38067071.0,126050796.0,Asia,36.204824,138.252924,607519519.0,6557070.0,5549753.0,25530.0
Jersey,222803.0,82706.0,61009.0,101073.0,Europe,49.214439,-2.13125,0.0,0.0,0.0,0.0
Jordan,9649298.0,4694106.0,,10269022.0,Asia,30.585164,36.238414,361809569.0,4311977.0,1654787.0,13882.0
Kazakhstan,20918681.0,9423576.0,2514071.0,18994958.0,Asia,48.019573,66.923684,335412507.0,5205221.0,1451802.0,19264.0
Kenya,17129923.0,11619474.0,264172.0,54985702.0,Africa,-0.023559,37.906193,98902227.0,1857395.0,323129.0,5641.0
Kiribati,126919.0,76491.0,,121388.0,Oceania,-3.370417,-168.734039,93089.0,260.0,3006.0,13.0
Kosovo,1817836.0,900766.0,98661.0,1782115.0,Europe,42.602636,20.902977,59559207.0,1163864.0,226729.0,3122.0
Kuwait,7592265.0,3393521.0,380911.0,4328553.0,Asia,29.31166,47.481766,175593212.0,989085.0,624573.0,2549.0
Kyrgyzstan,2813620.0,1464629.0,,6628347.0,Asia,41.20438,74.766098,71507477.0,1155520.0,200671.0,3412.0
Laos,9580326.0,5206859.0,,7379358.0,Asia,19.85627,102.495496,15745754.0,50899.0,144759.0,634.0
Latvia,2864173.0,1342992.0,505888.0,1866934.0,Europe,56.879635,24.603189,84787846.0,1265416.0,719813.0,5384.0
Lebanon,5228148.0,2504168.0,544782.0,6769151.0,Asia,33.854721,35.862285,267277987.0,3302396.0,1081463.0,10176.0
Lesotho,926760.0,782175.0,,2159067.0,Africa,-29.609988,28.233608,7558267.0,197308.0,32716.0,697.0
Liberia,1200630.0,1116709.0,,5180208.0,Africa,6.428055,-9.429499,2192348.0,97232.0,7513.0,294.0
Libya,3369226.0,2179222.0,82574.0,6958538.0,Africa,26.3351,17.228331,124536594.0,1823574.0,499132.0,6324.0
Liechtenstein,70232.0,26707.0,18170.0,38254.0,Europe,47.166,9.555373,1964887.0,27369.0,13475.0,79.0
Lithuania,4457268.0,1947188.0,913673.0,2689862.0,Europe,55.169438,23.881275,161513321.0,2231327.0,944968.0,8589.0
Luxembourg,1273195.0,479766.0,365154.0,634814.0,Europe,49.815273,6.129583,39788960.0,392679.0,191178.0,1002.0
Madagascar,1258980.0,1062980.0,,28427333.0,Africa,-18.766947,46.869107,19983691.0,391020.0,63798.0,1373.0
Malawi,1934835.0,1536112.0,,19647681.0,Africa,-13.254308,34.301525,22787001.0,759234.0,85461.0,2620.0
Malaysia,68159756.0,27315739.0,15280702.0,32776195.0,Asia,4.210484,101.975766,648558575.0,6526217.0,3711199.0,33497.0
Maldives,911964.0,398315.0,142239.0,543620.0,Asia,3.202778,73.22068,32706054.0,84957.0,173666.0,297.0
Mali,1769121.0,1244934.0,,20855724.0,Africa,17.570692,-3.996166,7630751.0,257832.0,30402.0,725.0
Malta,1249336.0,472202.0,346506.0,516100.0,Europe,35.937496,14.375416,16917028.0,196268.0,72310.0,614.0
Mauritania,2629302.0,1544003.0,36110.0,4775110.0,Africa,21.00789,-10.940835,14763905.0,312868.0,58656.0,981.0
Mauritius,2494317.0,1000474.0,540833.0,1273428.0,Africa,-20.348404,57.552152,12488577.0,100242.0,169938.0,904.0
Mexico,186141053.0,85413399.0,,130262220.0,North America,23.634501,-102.552784,1511729553.0,121260101.0,5583993.0,313347.0
Moldova,2099809.0,989897.0,82869.0,4024025.0,Europe,47.411631,28.369885,137908256.0,3262346.0,506222.0,10719.0
Monaco,65140.0,28875.0,10598.0,39520.0,Europe,43.750298,7.412841,1610291.0,14895.0,9666.0,54.0
Mongolia,5473520.0,2272019.0,1027907.0,3329282.0,Asia,46.862496,103.846656,135394604.0,413916.0,914016.0,2177.0
Montenegro,665962.0,289124.0,95937.0,628051.0,Europe,42.708678,19.37439,56827458.0,801150.0,231227.0,2691.0
Montserrat,4089.0,1869.0,,4981.0,North America,16.742498,-62.187366,22860.0,715.0,164.0,2.0
Morocco,53894957.0,24854067.0,5909798.0,37344787.0,Africa,31.791702,-7.09262,351874812.0,5571408.0,1161848.0,16029.0
Mozambique,23563858.0,12963020.0,222787.0,32163045.0,Africa,-18.665695,35.529562,53245824.0,601226.0,225175.0,2232.0
Namibia,814463.0,444529.0,,2587344.0,Africa,-22.95764,18.49041,43707761.0,995163.0,157366.0,4015.0
Nauru,15128.0,7764.0,,10873.0,Oceania,-0.522778,166.931503,0.0,0.0,0.0,0.0
Nepal,38791546.0,21779635.0,1723833.0,29674920.0,Asia,28.394857,84.124008,291592331.0,3645496.0,977710.0,11949.0
Netherlands,33943469.0,13452121.0,9000965.0,17173094.0,Europe,52.132633,5.291266,1022658560.0,9584363.0,7005830.0,21763.0
New Caledonia,367291.0,187823.0,,288217.0,Oceania,-20.904305,165.618042,3206624.0,44074.0,59164.0,304.0
New Zealand,10804735.0,4277074.0,2550695.0,5126300.0,Oceania,-40.900557,174.885971,5503400.0,20148.0,286755.0,65.0
Nicaragua,9611936.0,5498389.0,,6702379.0,North America,12.865416,-85.207229,5899772.0,112966.0,18203.0,226.0
Niger,2674381.0,2175283.0,,25130810.0,Africa,17.607789,8.081666,2943170.0,109354.0,8778.0,307.0
Nigeria,28684071.0,19196245.0,,211400704.0,Africa,9.081999,8.675277,92673407.0,1252495.0,254777.0,3143.0
Niue,2628.0,1340.0,,1614.0,Oceania,-19.054445,-169.867233,0.0,0.0,0.0,0.0
Norway,11251214.0,4330488.0,2896964.0,5465629.0,Europe,60.472024,8.468946,116905407.0,462577.0,1333793.0,1755.0
